iter	RMSE
0	409890.6912
1	408465.0211
2	407147.9386
3	405827.8526
4	404549.1916
5	403225.0233
6	401936.7346
7	400698.7354
8	399454.7853
9	398212.6378
10	396989.9947
11	395756.507
12	394597.6443
13	393365.0629
14	392272.2224
15	391126.4595
16	390091.7287
17	389008.5494
18	387890.9568
19	386795.1951
20	385714.857
21	384640.0467
22	383582.4931
23	382596.575
24	381574.5169
25	380546.2374
26	379539.8792
27	378550.4533
28	377636.0759
29	376731.2678
30	375797.2998
31	374868.9383
32	373939.8751
33	373055.2795
34	372141.2904
35	371250.3149
36	370342.6593
37	369428.3643
38	368560.0741
39	367696.4228
40	366901.4483
41	366152.3951
42	365286.6474
43	364499.5315
44	363711.6386
45	362918.2967
46	362171.7931
47	361386.1853
48	360650.2862
49	359892.3553
50	359072.6907
51	358313.0171
52	357581.2971
53	356885.8824
54	356185.9107
55	355505.9528
56	354821.0559
57	354212.8121
58	353497.8
59	352878.0611
60	352259.7347
61	351673.3063
62	351021.5932
63	350370.0849
64	349836.8029
65	349195.1466
66	348563.9512
67	347955.2133
68	347318.868
69	346718.5299
70	346126.5072
71	345473.0429
72	344939.6654
73	344421.8689
74	343837.3107
75	343261.2602
76	342709.3396
77	342110.1088
78	341563.0955
79	341024.8483
80	340460.9298
81	339933.4605
82	339419.253
83	338918.5283
84	338417.263
85	337916.453
86	337403.3893
87	336923.8142
88	336408.9438
89	335964.1271
90	335515.1793
91	335049.7703
92	334570.4909
93	334153.3207
94	333744.2387
95	333356.4144
96	332928.9073
97	332458.9713
98	332000.9277
99	331568.0171
100	331164.7075
101	330714.3775
102	330344.9946
103	329905.0067
104	329500.1174
105	329099.9532
106	328716.9559
107	328340.1505
108	327962.1337
109	327625.8431
110	327231.4464
111	326827.8693
112	326424.5571
113	326034.1997
114	325623.7311
115	325203.9014
116	324796.9099
117	324448.6975
118	324065.3168
119	323711.7309
120	323381.4203
121	323057.4294
122	322695.243
123	322370.3448
124	322038.4688
125	321703.9681
126	321349.6438
