iter	Passed	Remaining
0	2	24636
1	4	23848
2	7	23901
3	9	23534
4	11	23372
5	14	23386
6	16	23123
7	18	23147
8	20	23157
9	23	23074
10	25	23200
11	27	23128
12	30	23108
13	32	23049
14	34	22918
15	36	22784
16	38	22799
17	41	22750
18	43	22688
19	45	22688
20	47	22622
21	49	22629
22	52	22586
23	54	22559
24	56	22547
25	58	22527
26	60	22477
27	62	22420
28	65	22428
29	67	22405
30	69	22443
31	72	22443
32	74	22420
33	76	22386
34	78	22376
35	80	22366
36	82	22335
37	85	22360
38	87	22368
39	89	22396
40	92	22434
41	94	22429
42	96	22415
43	99	22493
44	101	22488
45	103	22459
46	106	22474
47	108	22459
48	110	22450
49	112	22446
50	114	22427
51	117	22441
52	119	22431
53	121	22414
54	123	22401
55	126	22388
56	128	22372
57	130	22345
58	132	22369
59	134	22335
60	136	22315
61	139	22293
62	141	22289
63	143	22290
64	145	22292
65	148	22310
66	150	22304
67	152	22296
68	154	22291
69	157	22281
70	159	22282
71	161	22284
72	163	22270
73	166	22278
74	168	22270
75	170	22244
76	172	22246
77	174	22252
78	177	22246
79	179	22243
80	181	22252
81	183	22253
82	186	22265
83	188	22272
84	190	22273
85	193	22275
86	195	22273
87	197	22282
88	200	22334
89	202	22351
90	205	22371
91	217	23386
92	219	23416
93	222	23443
94	224	23445
95	227	23442
96	229	23417
97	231	23406
98	233	23383
99	236	23372
100	238	23368
101	240	23357
102	242	23346
103	245	23352
104	262	24756
105	264	24732
106	267	24708
107	269	24680
108	271	24650
109	273	24634
110	276	24611
111	278	24596
112	280	24581
113	283	24555
114	285	24548
115	287	24528
116	290	24524
117	292	24503
118	295	24496
119	297	24471
120	299	24449
121	301	24437
122	303	24406
123	306	24390
124	308	24371
125	310	24356
126	313	24338
127	315	24319
128	317	24296
129	319	24274
130	322	24263
131	324	24248
132	326	24217
133	328	24201
134	330	24181
135	333	24155
136	335	24143
137	337	24140
138	340	24132
139	342	24126
140	344	24116
141	347	24102
142	349	24086
143	351	24068
144	353	24048
145	356	24030
146	358	24016
147	360	23998
148	362	23998
149	365	23982
150	367	23967
151	369	23950
152	371	23934
153	374	23914
154	376	23907
155	378	23892
156	380	23883
157	383	23891
158	385	23885
159	388	23887
160	391	23904
161	393	23907
162	396	23911
163	398	23903
164	400	23890
165	403	23876
166	405	23868
167	407	23860
168	410	23856
169	412	23844
170	414	23833
171	416	23825
172	419	23817
173	421	23809
174	424	23809
175	426	23809
176	428	23800
177	431	23790
178	433	23783
179	435	23772
180	438	23785
181	441	23790
182	443	23783
183	445	23785
184	448	23782
185	450	23770
186	452	23760
187	455	23749
188	457	23745
189	460	23756
190	462	23746
191	465	23755
192	467	23751
193	469	23741
194	472	23742
195	474	23747
196	477	23739
197	479	23740
198	481	23738
199	484	23747
200	487	23746
201	489	23742
202	491	23743
203	494	23749
204	497	23759
205	499	23768
206	502	23764
207	505	23775
208	507	23782
209	510	23779
210	512	23785
211	515	23779
212	517	23772
213	519	23769
214	522	23765
215	524	23761
216	527	23764
217	529	23760
218	532	23763
219	534	23767
220	537	23767
221	539	23783
222	542	23786
223	545	23785
224	547	23783
225	549	23779
226	552	23776
227	554	23767
228	556	23761
229	559	23753
230	561	23746
231	563	23738
232	566	23734
233	568	23728
234	570	23722
235	573	23717
236	575	23714
237	578	23712
238	580	23713
239	582	23706
240	585	23710
241	588	23715
242	590	23711
243	593	23723
244	595	23721
245	598	23718
246	600	23714
247	602	23709
248	605	23708
249	607	23706
250	610	23694
251	612	23691
252	614	23683
253	617	23679
254	619	23686
255	622	23685
256	624	23682
257	627	23692
258	629	23693
259	632	23701
260	635	23699
261	637	23701
262	640	23702
263	642	23699
264	645	23694
265	647	23700
266	650	23696
267	652	23691
268	654	23685
269	657	23679
270	659	23670
271	661	23666
272	664	23661
273	666	23658
274	668	23655
275	671	23652
276	673	23654
277	676	23650
278	678	23656
279	681	23653
280	683	23651
281	686	23654
282	688	23646
283	691	23641
284	693	23639
285	695	23636
286	698	23628
287	700	23629
288	703	23627
289	705	23618
290	708	23622
291	710	23619
292	712	23616
293	715	23615
294	717	23610
295	720	23613
296	722	23605
297	724	23600
298	727	23598
299	729	23595
300	732	23601
301	735	23606
302	737	23596
303	739	23593
304	742	23591
305	744	23584
306	746	23580
307	749	23581
308	751	23583
309	754	23579
310	756	23573
311	758	23565
312	761	23560
313	763	23558
314	766	23562
315	768	23562
316	771	23560
317	773	23559
318	776	23565
319	779	23565
320	781	23564
321	784	23564
322	786	23564
323	788	23562
324	791	23560
325	793	23556
326	796	23550
327	798	23547
328	800	23540
329	803	23536
330	805	23532
331	808	23538
332	810	23536
333	813	23528
334	815	23525
335	817	23521
336	820	23515
337	822	23511
338	824	23505
339	827	23499
340	829	23500
341	831	23494
342	834	23488
343	836	23486
344	839	23481
345	841	23477
346	843	23471
347	846	23468
348	848	23467
349	851	23465
350	853	23460
351	855	23455
352	858	23449
353	860	23442
354	862	23440
355	865	23439
356	867	23431
357	869	23426
358	872	23423
359	874	23412
360	876	23410
361	879	23403
362	881	23398
363	883	23398
364	886	23393
365	888	23385
366	890	23377
367	892	23369
368	895	23363
369	897	23359
370	899	23355
371	902	23349
372	904	23343
373	906	23335
374	908	23329
375	911	23328
376	913	23320
377	916	23318
378	918	23317
379	920	23311
380	923	23304
381	925	23302
382	927	23298
383	930	23294
384	932	23293
385	934	23287
386	937	23281
387	939	23272
388	941	23268
389	944	23267
390	946	23262
391	948	23254
392	951	23255
393	953	23253
394	956	23256
395	958	23254
396	961	23250
397	963	23243
398	965	23241
399	968	23239
400	970	23236
401	973	23233
402	975	23226
403	977	23224
404	980	23220
405	982	23218
406	985	23221
407	987	23218
408	990	23220
409	992	23217
410	995	23218
411	997	23219
412	1000	23218
413	1002	23216
414	1005	23216
415	1007	23213
416	1010	23213
417	1012	23209
418	1014	23205
419	1017	23205
420	1019	23203
421	1022	23198
422	1024	23198
423	1027	23200
424	1029	23196
425	1032	23201
426	1034	23199
427	1037	23197
428	1039	23196
429	1042	23193
430	1044	23187
431	1046	23184
432	1049	23185
433	1051	23183
434	1054	23181
435	1056	23180
436	1059	23180
437	1061	23183
438	1064	23180
439	1066	23177
440	1069	23175
441	1071	23176
442	1074	23177
443	1076	23173
444	1079	23171
445	1081	23173
446	1084	23169
447	1086	23168
448	1088	23164
449	1091	23160
450	1093	23153
451	1095	23145
452	1097	23137
453	1100	23130
454	1102	23128
455	1104	23122
456	1107	23119
457	1109	23116
458	1111	23109
459	1114	23106
460	1116	23101
461	1118	23098
462	1121	23096
463	1123	23091
464	1126	23090
465	1128	23086
466	1130	23077
467	1132	23075
468	1135	23068
469	1137	23062
470	1139	23057
471	1141	23051
472	1144	23046
473	1146	23037
474	1148	23032
475	1150	23027
476	1153	23025
477	1155	23022
478	1158	23018
479	1160	23015
480	1162	23010
481	1165	23005
482	1167	23004
483	1169	23001
484	1172	22996
485	1174	22992
486	1176	22988
487	1179	22988
488	1181	22987
489	1184	22982
490	1186	22977
491	1188	22976
492	1191	22971
493	1193	22969
494	1195	22965
495	1198	22960
496	1200	22955
497	1202	22952
498	1205	22948
499	1207	22944
500	1210	22943
501	1212	22939
502	1214	22933
503	1216	22926
504	1219	22928
505	1221	22923
506	1224	22922
507	1226	22920
508	1228	22916
509	1231	22916
510	1233	22912
511	1236	22912
512	1238	22910
513	1241	22908
514	1243	22908
515	1246	22903
516	1248	22900
517	1250	22893
518	1252	22887
519	1255	22883
520	1257	22879
521	1259	22877
522	1262	22874
523	1264	22867
524	1266	22863
525	1269	22857
526	1271	22848
527	1273	22843
528	1275	22837
529	1277	22830
530	1279	22824
531	1282	22820
532	1284	22819
533	1287	22817
534	1289	22812
535	1291	22804
536	1293	22797
537	1295	22792
538	1298	22784
539	1300	22781
540	1302	22776
541	1305	22772
542	1307	22770
543	1309	22766
544	1312	22763
545	1314	22765
546	1317	22760
547	1319	22754
548	1321	22748
549	1323	22741
550	1325	22736
551	1328	22731
552	1330	22729
553	1332	22725
554	1335	22722
555	1337	22716
556	1339	22709
557	1341	22707
558	1344	22702
559	1346	22696
560	1348	22695
561	1351	22690
562	1353	22684
563	1355	22681
564	1357	22676
565	1360	22674
566	1362	22670
567	1364	22665
568	1367	22660
569	1369	22656
570	1371	22652
571	1374	22648
572	1376	22643
573	1378	22640
574	1380	22633
575	1383	22630
576	1385	22624
577	1387	22618
578	1389	22615
579	1392	22609
580	1394	22605
581	1396	22600
582	1398	22595
583	1401	22588
584	1403	22585
585	1405	22581
586	1407	22577
587	1411	22589
588	1418	22657
589	1420	22656
590	1423	22658
591	1425	22659
592	1428	22657
593	1430	22659
594	1433	22656
595	1435	22650
596	1438	22649
597	1440	22648
598	1442	22643
599	1444	22638
600	1447	22633
601	1449	22630
602	1451	22625
603	1454	22621
604	1456	22618
605	1458	22615
606	1461	22611
607	1463	22614
608	1466	22612
609	1468	22606
610	1471	22605
611	1473	22599
612	1475	22594
613	1477	22590
614	1480	22586
615	1482	22581
616	1484	22581
617	1487	22575
618	1489	22570
619	1491	22569
620	1493	22563
621	1496	22559
622	1498	22557
623	1500	22552
624	1503	22549
625	1505	22546
626	1507	22542
627	1510	22541
628	1512	22540
629	1515	22537
630	1517	22538
631	1520	22536
632	1522	22530
633	1525	22529
634	1527	22524
635	1529	22520
636	1532	22518
637	1534	22512
638	1536	22505
639	1538	22502
640	1540	22497
641	1543	22492
642	1545	22489
643	1547	22485
644	1550	22481
645	1552	22478
646	1554	22476
647	1557	22472
648	1559	22469
649	1561	22465
650	1563	22458
651	1566	22457
652	1568	22452
653	1570	22449
654	1573	22447
655	1575	22442
656	1577	22439
657	1580	22436
658	1582	22433
659	1584	22428
660	1587	22424
661	1589	22419
662	1591	22415
663	1594	22412
664	1596	22407
665	1598	22407
666	1601	22405
667	1603	22400
668	1605	22396
669	1607	22391
670	1610	22386
671	1612	22382
672	1614	22377
673	1616	22373
674	1619	22370
675	1621	22367
